Date,Open,High,Low,Close,Adj Close,Volume
24-04-2017,155.449997,157,154.199997,155.149994,155.149994,7810199
25-04-2017,156.600006,162,155.800003,161.100006,161.100006,14159303
26-04-2017,161.949997,169.600006,161,167.149994,167.149994,23060379
27-04-2017,165.75,167.899994,162.649994,164.699997,164.699997,12027538
28-04-2017,165.300003,170.699997,164.75,168.850006,168.850006,14727193
02-05-2017,170,174.25,169.850006,170.699997,170.699997,12782804
03-05-2017,172,178,169.199997,174.899994,174.899994,19280628
04-05-2017,178.5,180.399994,175.399994,179.449997,179.449997,15515354
05-05-2017,181.75,185.800003,171.600006,174.300003,174.300003,25487298
08-05-2017,174.449997,177.300003,172,176.100006,176.100006,11955725
09-05-2017,177,177.199997,171.050003,173.600006,173.600006,11702741
10-05-2017,174,175.449997,170.800003,172.149994,172.149994,6404722
11-05-2017,172.600006,176.199997,171.100006,172,172,8622609
12-05-2017,172,174.050003,167.100006,169.149994,169.149994,8539232
15-05-2017,169.949997,171.300003,166.199997,166.800003,166.800003,7476618
16-05-2017,167.350006,178,164.800003,174.149994,174.149994,51532461
17-05-2017,173,173.100006,164.300003,165.050003,165.050003,26536944
18-05-2017,163.399994,164.399994,157.899994,158.5,158.5,13905573
19-05-2017,159.5,162.25,154.100006,155.199997,155.199997,16311602
22-05-2017,157.5,158,150.25,150.949997,150.949997,11857847
23-05-2017,151.949997,154.350006,145.550003,149.75,149.75,18177361
24-05-2017,149.699997,152.350006,146.5,147.449997,147.449997,12578488
25-05-2017,148.5,151.899994,144.350006,150.699997,150.699997,18805386
26-05-2017,151,153.300003,149.600006,150.649994,150.649994,9285518
29-05-2017,150.449997,151.850006,143.050003,145.100006,145.100006,8154328
30-05-2017,143.899994,148,142.399994,146.350006,146.350006,10767305
31-05-2017,146.850006,151.600006,145,150.5,150.5,16851657
01-06-2017,151,152.300003,149.25,151.899994,151.899994,9103808
02-06-2017,153.399994,154.050003,150.899994,153.050003,153.050003,7997880
05-06-2017,153.449997,154.75,152.800003,153.800003,153.800003,5133407
06-06-2017,154.100006,154.5,149.050003,149.5,149.5,6081488
07-06-2017,149.5,153,149.25,152.350006,152.350006,7023536
08-06-2017,152.800003,153.149994,150.75,151.300003,151.300003,5183430
09-06-2017,151,152.75,149.649994,152.149994,152.149994,4215439
12-06-2017,151,151,147.5,148.399994,148.399994,6329251
13-06-2017,148.800003,150.5,147.5,148.75,148.75,4610203
14-06-2017,149.600006,152.699997,148.300003,152,152,8829217
15-06-2017,148.600006,150.699997,146.699997,147.449997,147.449997,12486764
16-06-2017,148.5,148.899994,146.699997,147.649994,147.649994,6445657
19-06-2017,148.5,149,146.800003,147.25,147.25,3972793
20-06-2017,146.899994,147.600006,143.5,143.899994,143.899994,11058383
21-06-2017,144.100006,146.649994,143.5,146.199997,146.199997,6615254
22-06-2017,146.949997,147.899994,144.75,145.550003,145.550003,4476023
23-06-2017,145.75,146.550003,142.100006,143.899994,143.899994,6011716
27-06-2017,144.399994,144.399994,135.600006,137,137,11185507
28-06-2017,134.399994,138.25,132.649994,136.5,136.5,10796349
29-06-2017,138,139.75,134.800003,138.050003,138.050003,9372758
30-06-2017,136.850006,138.600006,135.5,137.300003,137.300003,5476662
03-07-2017,137.5,140,136.600006,139.25,139.25,4541871
04-07-2017,139.399994,140.350006,135.800003,136.550003,136.550003,4799590
05-07-2017,136.399994,137.600006,135.25,136.600006,136.600006,6423645
06-07-2017,140.449997,144.199997,139.75,143.300003,143.300003,16877517
07-07-2017,143.600006,144.800003,142.449997,144.199997,144.199997,6501418
10-07-2017,149.800003,154.25,149,153.25,153.25,6633454
11-07-2017,154.350006,155.100006,148.699997,149.399994,149.399994,10977204
12-07-2017,149.850006,152.899994,148.399994,152.350006,152.350006,7270322
13-07-2017,153.899994,154.949997,151,152.25,152.25,5383408
14-07-2017,150,154.899994,150,153.649994,153.649994,7808933
17-07-2017,153.350006,154,151.5,152.899994,152.899994,7437053
18-07-2017,152.899994,158.949997,151.899994,154.850006,154.850006,12397695
19-07-2017,156.600006,158.850006,155.649994,158.300003,158.300003,6062912
20-07-2017,156.949997,158.699997,155.899994,156.75,156.75,5441983
21-07-2017,158,159.699997,155.949997,158.25,158.25,6926819
24-07-2017,158.5,163.399994,158,161.300003,161.300003,8443748
25-07-2017,162.25,164.300003,161.350006,162.949997,162.949997,6869914
26-07-2017,162.5,163.699997,158.100006,158.899994,158.899994,8868577
27-07-2017,159.949997,160.899994,153.5,154.149994,154.149994,11133709
28-07-2017,154,159.449997,153,158.850006,158.850006,7759390
31-07-2017,154.899994,163.399994,154.350006,162.300003,162.300003,13159766
01-08-2017,163.800003,164.199997,157,157.5,157.5,11446128
02-08-2017,159,162.199997,157.350006,158.949997,158.949997,31565886
03-08-2017,157.850006,157.850006,148.199997,149.300003,149.300003,19702626
04-08-2017,149.050003,152.350006,147.899994,151.050003,151.050003,12895805
07-08-2017,151.300003,153,151.050003,152.100006,152.100006,5372108
08-08-2017,153,153,145.5,148.800003,148.800003,11529949
09-08-2017,148.5,150.300003,146.5,148.300003,148.300003,7478797
10-08-2017,147.5,148.300003,140.149994,143.149994,143.149994,8506146
11-08-2017,139,144.600006,137.449997,140.350006,140.350006,14050916
14-08-2017,141.5,143.800003,140.350006,143.199997,143.199997,5282514
16-08-2017,143.899994,149.100006,140.699997,147.550003,147.550003,8003091
17-08-2017,148.100006,150.100006,145.5,146.300003,146.300003,8384523
18-08-2017,144,144.5,140.699997,142.149994,142.149994,9195713
21-08-2017,143,143.899994,136.800003,137.600006,137.600006,9064019
22-08-2017,139,139.5,135.649994,138,138,9256850
23-08-2017,139,143.100006,138.25,142.649994,142.649994,9488136
24-08-2017,141.5,145.5,140.25,144.300003,144.300003,8742823
28-08-2017,144.300003,145.949997,143.949997,144.850006,144.850006,5356187
29-08-2017,143.25,145.399994,140.25,141,141,6956667
30-08-2017,142.25,143.350006,141.300003,142.5,142.5,4286281
31-08-2017,142.600006,145,141.399994,143.800003,143.800003,8964249
01-09-2017,144.100006,145.800003,143.899994,144.449997,144.449997,5319966
04-09-2017,144.5,145.399994,141.600006,142.649994,142.649994,4522734
05-09-2017,143.300003,143.899994,142.399994,143.600006,143.600006,3193574
